1,Building,13,ClientID,Text,Internal code identifying the client - not part of logical model,-1,0,0,,,,0,,ClientID,11,Building.Asset.Provider.Client.ClientID,1,13,1
1,Building,14,SubmissionID,Text,Internal code identifying the submission - not part of logical model,-2,0,0,,,,0,,SubmissionID,11,,1,,
1,Building,15,Provider Reference,Text,An external reference as part of the unique key in the data warehouse.,2,0,1,,,,0,,ProviderReference,11,Building.Asset.Provider.ProviderReference,0,522,1
1,Building,16,Active,Yes/No,"Indicates whether the record is active. If the record is inactive, the data warehouse will bypass the record when importing the data.",1,0,1,,,,0,,Active,11,Building.Active,1,,
1,Building,17,Asset Reference,Text,The unique alpha-numeric reference number associated with the building in the system of record.,3,0,1,100,,,0,,AssetReference,5,Building.AssetReference,0,41,1
1,Building,18,Building Name,Text,"The name by which the building is generally known, if it is not referred to by its address (e.g. Shard, Empire State Building, Louvre, etc.).",5,1,0,255,,,0,,BuildingName,5,Building.BuildingName,0,,
1,Building,19,Area Measurement Unit,Text,"The unit of measure in which all area amounts associated with this building have been submitted (e.g. sqf, sqm).",15,0,0,,,,1,,AreaMeasurementUnit,5,Building.AreaMeasurementUnitKey,0,,
1,Building,20,Currency,Text,The ISO standard code for the currency in which all financial amounts associated with this building have been submitted.,14,0,1,20,,,1,Currency,Currency,5,Building.Asset.CurrencyKey,0,,
1,Building,21,Gross Building Area,Decimal Number,"Also known as Gross Floor Area, Gross Building Area is the area of a building measured externally at each floor level. Includes among others, perimeter wall thickness and external projections, areas occupied by internal walls and partitions, etc.",21,0,0,,0,,0,,GrossBuildingArea,8,Building.GrossBuildingArea.Area,0,,
1,Building,22,Gross Leasable Area,Decimal Number,"Gross Internal Area is the area of a building measured to the internal face of the perimeter walls at each floor level. Including areas occupied by internal walls and partitions, atria and entrance halls, with clear height above, measured at base level only, etc.",22,0,0,,0,,0,,GrossLeasableArea,8,Building.GrossLeasableArea.Area,0,,
1,Building,23,Net Leasable Area,Decimal Number,"The net internal floor area available for occupation by tenants excluding all common areas, stair wells, etc.",23,0,0,,0,,0,,NetLeasableArea,8,Building.NetLeasableArea.Area,0,,
1,Building,24,Buildable Area,Decimal Number,"The sum, in the building's unit of measurement (e.g. sqf or sqm), of all buildable area for which development / redevelopment planning permission has been granted.",39,0,0,,0,,0,,BuildableArea,8,Building.BuildableArea.Area,0,,
1,Building,25,Number of Floors,Number,"The total number of floors (including basement, ground and upper floors) in the building.",27,0,0,,0,,0,,NumberOfFloors,8,Building.NumberOfFloors,0,,
1,Building,26,Number of Units,Number,The total number of leasable units within the building.,26,0,0,,0,,0,,NumberOfUnits,8,Building.NumberOfUnits,0,,
1,Building,27,Number of Parking Spaces,Number,Total number of parking spaces associated with the subject building. This includes both billable (charged for) and non-billable (free) parking spaces on the premises.,28,0,0,,0,,0,,NumberOfParkingSpaces,8,Building.NumberOfParkingSpaces,0,,
1,Building,28,Parking Area,Decimal Number,"This sum of all parking area including billable (charged for) and non-billable (free) parking spaces, expressed in the unit of measurement associated with the building (e.g. sqf, sqm). This is typically an estimate based on the number of spaces on the premises.",29,0,0,,0,,0,,ParkingArea,8,Building.ParkingArea.Area,0,,
1,Building,29,Property Form of Title,Text,"The legal form of property title (e.g. freehold, leasehold, mixed, etc.).",34,0,0,,,,1,Property Form of Title,PropertyFormOfTitle,8,Building.PropertyFormOfTitleKey,0,,
1,Building,30,Complex Name,Text,The name that is used to identify the group of related buildings to which this building belongs.,6,0,0,,,,0,,ComplexName,5,Building.ComplexName,0,,
1,Building,31,Building Parent Reference,Text,An alpha-numeric identifier associated with a building within the system of record. This field groups more than one physical building for accounting and / or reporting purposes.,4,0,1,,,,0,,ParentBuildingReference,5,,0,,
1,Building,32,Business Unit Name,Text,The name of the internal corporate division under which the building is reported.,33,0,0,,,,1,Business Unit Name,BusinessUnitName,9,Building.Asset.BusinessUnitKey,0,,
1,Building,33,Street Address 1,Text,The number and name of the street where the building is physically located.,8,0,0,200,,,0,,StreetAddress1,7,Building.BuildingAddress.Address.StreetAddress1,0,,
1,Building,34,Street Address 2,Text,Additional street address information.,9,0,0,200,,,0,,StreetAddress2,7,Building.BuildingAddress.Address.StreetAddress2,0,,
1,Building,35,City,Text,The full name of the city or town where the building is physically located.,10,0,0,100,,,1,,City,7,Building.BuildingAddress.Address.City,0,,
